lga_name,basketball_facility_count,known_court_count_records,basketball_court_count_est,indoor_facility_count,outdoor_facility_count,mixed_facility_count,unknown_indoor_outdoor_count,avg_condition_score,source_file,source_notes
Frankston City Council,2,2,7,2,0,0,0,3.0,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Gannawarra Shire Council,2,1,2,1,0,0,1,,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Hepburn Shire Council,2,2,3,2,0,0,0,4.5,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Hindmarsh Shire Council,2,2,2,1,1,0,0,3.0,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Kingston City Council,2,1,2,2,0,0,0,3.0,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Maroondah City Council,2,2,5,2,0,0,0,3.5,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Moira Shire Council,2,2,3,2,0,0,0,4.0,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Moreland City Council,2,2,2,2,0,0,0,3.5,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Northern Grampians Shire Council,2,2,3,1,0,0,1,3.5,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Shepparton City Council,2,2,5,2,0,0,0,3.5,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Warrnambool City Council,2,2,5,2,0,0,0,4.0,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
West Wimmera Shire Council,2,1,1,0,0,0,2,4.5,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Yarriambiack Shire Council,2,2,4,0,1,0,1,3.0,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Ararat Rural City Council,1,1,2,0,0,0,1,,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Benalla Rural City Council,1,1,3,1,0,0,0,2.0,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Glen Eira City Council,1,0,,1,0,0,0,,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Horsham Rural City Council,1,1,2,1,0,0,0,4.0,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Loddon Shire Council,1,1,1,1,0,0,0,4.0,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Mansfield Shire Council,1,1,1,1,0,0,0,1.0,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Moorabool Shire Council,1,1,2,1,0,0,0,4.0,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Mount Alexander Shire Council,1,1,2,1,0,0,0,4.0,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Southern Grampians Shire Council,1,1,1,1,0,0,0,5.0,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Strathbogie Shire Council,1,1,4,1,0,0,0,4.0,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Wangaratta Rural City Council,1,1,3,1,0,0,0,5.0,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Wodonga City Council,1,1,5,1,0,0,0,4.0,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Wyndham City Council,1,1,6,1,0,0,0,4.0,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
Yarra Ranges Shire Council,1,1,6,1,0,0,0,4.0,victoria_basketball_facilities.csv,Derived summary grouped by LGA from cleaned basketball facility records.
