state,state_code,adult_participation_rate_pct,adult_participants_est,child_participation_rate_pct,child_participants_est,total_participants_est,derived_total_participation_rate_pct,adult_population_base_est,child_population_base_est,derived_total_population_base_est,adult_male_participation_rate_pct,adult_female_participation_rate_pct,child_male_participation_rate_pct,child_female_participation_rate_pct,adult_organised_participation_rate_pct,adult_organised_participants_est,source_file,source_sheets,source_release,notes
Australian Capital Territory,ACT,4.48,17814,7.98,6665,24478,5.08,397988,83482,481470,5.48,3.17,11.28,4.68,2.77,11006,C4S-AusPlay-ACT-Data-Tables-30-April-2026(1).xlsx,15: Participation by activity (adults); 16: Participation by activity (children); 17: Organised participation by activity (adults),AusPlay survey results January 2025 - December 2025; released 30 April 2026,Total participation rate is derived from adult and child participant estimates divided by derived adult+child population bases.
New South Wales,NSW,4.6,324624,5.38,80684,405307,4.74,7057507,1499838,8557345,7.09,2.18,7.36,3.28,2.24,157832,C4S-AusPlay-NSW-Data-Tables-30-April-2026(1).xlsx,16: Participation by activity (adults); 17: Participation by activity (children) (organised outside of school hours); 18: Organised participation by activity (adults),AusPlay survey results January 2025 - December 2025; released 30 April 2026,Total participation rate is derived from adult and child participant estimates divided by derived adult+child population bases.
Northern Territory,NT,4.53,9448,4.54,2407,11855,4.54,208371,53023,261395,7.05,2.3,2.72,6.44,3.13,6526,C4S-AusPlay-NT-Data-Tables-30-April-2026(1).xlsx,15: Participation by activity (adults); 16: Participation by activity (children); 17: Organised participation by activity (adults),AusPlay survey results January 2025 - December 2025; released 30 April 2026,Total participation rate is derived from adult and child participant estimates divided by derived adult+child population bases.
Queensland,QLD,3.15,145633,3.57,36070,181703,3.22,4626631,1009552,5636183,4.58,1.79,5.11,2.12,1.44,66755,C4S-AusPlay-QLD-Data-Tables-30-April-2026(1).xlsx,16: Participation by activity (adults); 17: Participation by activity (children) (organised outside of school hours); 18: Organised participation by activity (adults),AusPlay survey results January 2025 - December 2025; released 30 April 2026,Total participation rate is derived from adult and child participant estimates divided by derived adult+child population bases.
South Australia,SA,3.89,61551,9.02,28210,89761,4.74,1581163,312665,1893828,6.57,1.3,10.88,6.58,2.32,36664,C4S-AusPlay-SA-Data-Tables-30-April-2026(1).xlsx,16: Participation by activity (adults); 17: Participation by activity (children) (organised outside of school hours); 18: Organised participation by activity (adults),AusPlay survey results January 2025 - December 2025; released 30 April 2026,Total participation rate is derived from adult and child participant estimates divided by derived adult+child population bases.
Tasmania,TAS,4.39,21194,8.85,8196,29390,5.1,483331,92615,575946,5.44,3.29,10.56,7.43,2.24,10833,C4S-AusPlay-TAS-Data-Tables-30-April-2026(1).xlsx,15: Participation by activity (adults); 16: Participation by activity (children); 17: Organised participation by activity (adults),AusPlay survey results January 2025 - December 2025; released 30 April 2026,Total participation rate is derived from adult and child participant estimates divided by derived adult+child population bases.
Victoria,VIC,5.52,320582,11.04,135478,456060,6.48,5811236,1226683,7037919,8.03,3.11,14.27,7.56,2.97,172345,C4S-AusPlay-VIC-Data-Tables-30-April-2026(1).xlsx,16: Participation by activity (adults); 17: Participation by activity (children) (organised outside of school hours); 18: Organised participation by activity (adults),AusPlay survey results January 2025 - December 2025; released 30 April 2026,Total participation rate is derived from adult and child participant estimates divided by derived adult+child population bases.
Western Australia,WA,5.0,123515,8.04,44017,167532,5.55,2468880,547211,3016091,8.12,2.03,10.04,5.87,2.39,58916,C4S-AusPlay-WA-Data-Tables-30-April-2026(1).xlsx,16: Participation by activity (adults); 17: Participation by activity (children) (organised outside of school hours); 18: Organised participation by activity (adults),AusPlay survey results January 2025 - December 2025; released 30 April 2026,Total participation rate is derived from adult and child participant estimates divided by derived adult+child population bases.
