state,state_code,population_2005,population_2015,population_2024,population_2025,population_share_2025_pct,population_growth_2024_25_no,population_growth_2024_25_pct,source_file,source_table,source_notes
New South Wales,NSW,6707429,7645324,8518984,8624534,31.108,100474,1.18,ABS state and territory population.xlsx,"ABS National, state and territory population, Sep 2025 - Table 3 and Table 2",Population at 30 September 2025. Growth is 2024-25 from ABS Table 2.
Victoria,VIC,5006241,6057558,6982339,7104349,25.625,122898,1.77,ABS state and territory population.xlsx,"ABS National, state and territory population, Sep 2025 - Table 3 and Table 2",Population at 30 September 2025. Growth is 2024-25 from ABS Table 2.
Queensland,QLD,3940494,4791520,5595295,5692642,20.533,97874,1.76,ABS state and territory population.xlsx,"ABS National, state and territory population, Sep 2025 - Table 3 and Table 2",Population at 30 September 2025. Growth is 2024-25 from ABS Table 2.
South Australia,SA,1542004,1703703,1887076,1908182,6.883,20501,1.09,ABS state and territory population.xlsx,"ABS National, state and territory population, Sep 2025 - Table 3 and Table 2",Population at 30 September 2025. Growth is 2024-25 from ABS Table 2.
Western Australia,WA,2020359,2545509,2995905,3061672,11.043,66235,2.22,ABS state and territory population.xlsx,"ABS National, state and territory population, Sep 2025 - Table 3 and Table 2",Population at 30 September 2025. Growth is 2024-25 from ABS Table 2.
Tasmania,TAS,486893,515697,575068,576659,2.08,1496,0.26,ABS state and territory population.xlsx,"ABS National, state and territory population, Sep 2025 - Table 3 and Table 2",Population at 30 September 2025. Growth is 2024-25 from ABS Table 2.
Northern Territory,NT,206759,244570,261727,265457,0.957,3672,1.41,ABS state and territory population.xlsx,"ABS National, state and territory population, Sep 2025 - Table 3 and Table 2",Population at 30 September 2025. Growth is 2024-25 from ABS Table 2.
Australian Capital Territory,ACT,332177,397540,479769,486231,1.754,6200,1.3,ABS state and territory population.xlsx,"ABS National, state and territory population, Sep 2025 - Table 3 and Table 2",Population at 30 September 2025. Growth is 2024-25 from ABS Table 2.
